incident_id,customer_id,incident_ts,incident_type,root_cause,estimated_loss_usd
SI900066,C100528,2025-11-15 10:37:40,account_takeover,phishing,0.0
SI900067,C100012,2025-11-05 02:02:41,account_takeover,phishing,0.0
SI900068,C100187,2025-11-26 06:15:43,account_takeover,phishing,0.0
SI900069,C100594,2025-11-06 13:58:36,account_takeover,phishing,0.0
SI900070,C100024,2025-11-10 18:00:42,account_takeover,phishing,0.0
SI900071,C100070,2025-11-26 17:08:47,account_takeover,phishing,0.0
SI900072,C100544,2025-11-25 01:04:31,account_takeover,phishing,0.0
SI900073,C100821,2025-11-25 08:28:13,account_takeover,phishing,0.0
SI900074,C100890,2025-11-27 19:58:31,account_takeover,phishing,0.0
SI900075,C100271,2025-12-12 18:24:48,account_takeover,phishing,0.0
SI900076,C100049,2025-11-28 05:06:31,account_takeover,phishing,0.0
SI900077,C100611,2025-11-26 23:58:02,account_takeover,phishing,0.0
SI900078,C100769,2025-11-22 12:47:18,account_takeover,phishing,0.0
SI900079,C100258,2025-12-14 05:45:10,account_takeover,phishing,0.0
SI900080,C100401,2025-12-11 07:41:28,account_takeover,phishing,0.0
SI900081,C100728,2025-11-10 08:08:34,account_takeover,phishing,0.0
SI900082,C100299,2025-12-10 18:33:05,account_takeover,phishing,0.0
SI900083,C100612,2025-11-27 17:23:06,account_takeover,phishing,0.0
SI900084,C100143,2025-11-23 03:30:52,account_takeover,phishing,0.0
SI900085,C100946,2025-11-04 09:25:31,account_takeover,phishing,0.0
SI900086,C100358,2025-11-25 20:04:08,account_takeover,phishing,0.0
SI900087,C100265,2025-11-29 00:32:49,account_takeover,phishing,0.0
SI900088,C100871,2025-11-28 10:06:02,account_takeover,phishing,0.0
SI900089,C100016,2025-11-03 11:47:33,account_takeover,phishing,0.0
SI900090,C100442,2025-11-04 08:03:13,account_takeover,phishing,0.0
SI900091,C100038,2025-12-11 22:48:35,account_takeover,phishing,0.0
SI900092,C100695,2025-12-11 23:57:51,account_takeover,phishing,0.0
SI900093,C100440,2025-12-10 23:06:28,account_takeover,phishing,0.0
SI900094,C100192,2025-12-11 18:10:33,account_takeover,phishing,0.0
SI900095,C100621,2025-11-05 16:10:31,account_takeover,phishing,0.0
SI900096,C100309,2025-12-10 06:33:59,account_takeover,phishing,0.0
SI900097,C100052,2025-11-26 14:48:37,account_takeover,phishing,0.0
SI900098,C100535,2025-11-24 17:06:36,account_takeover,phishing,0.0
SI900099,C100093,2025-10-30 22:49:45,account_takeover,phishing,0.0
SI900100,C100448,2025-11-06 10:53:11,account_takeover,phishing,0.0
SI900101,C100144,2025-11-04 11:59:34,account_takeover,phishing,0.0
SI900102,C100069,2025-12-12 10:56:27,account_takeover,phishing,0.0
SI900103,C100931,2025-11-07 13:23:40,account_takeover,phishing,0.0
SI900104,C100724,2025-12-12 14:56:47,account_takeover,phishing,0.0
SI900105,C100251,2025-12-10 20:20:40,account_takeover,phishing,0.0
SI900106,C100853,2025-11-12 10:26:33,account_takeover,phishing,0.0
SI900107,C100457,2025-11-23 04:19:19,account_takeover,phishing,0.0
SI900108,C100849,2025-11-26 06:26:31,account_takeover,phishing,0.0
SI900109,C100407,2025-12-13 05:09:51,account_takeover,phishing,0.0
SI900110,C100268,2025-11-23 08:36:29,account_takeover,phishing,0.0
SI900111,C100757,2025-11-25 19:52:45,account_takeover,phishing,0.0
SI900112,C100513,2025-12-13 18:10:41,account_takeover,phishing,0.0
SI900113,C100073,2025-10-28 05:55:23,account_takeover,phishing,0.0
SI900114,C100614,2025-12-10 20:40:11,account_takeover,phishing,0.0
SI900115,C100298,2025-11-03 15:54:30,account_takeover,phishing,0.0
SI900116,C100959,2025-11-24 23:27:09,account_takeover,phishing,0.0
SI900117,C100685,2025-11-28 08:49:07,account_takeover,phishing,0.0
SI900118,C100908,2025-11-25 22:33:43,account_takeover,phishing,0.0
SI900119,C100362,2025-12-01 20:14:18,account_takeover,phishing,0.0
SI900120,C100654,2025-11-23 18:55:23,account_takeover,phishing,0.0
SI900121,C100264,2025-11-28 21:36:18,account_takeover,phishing,0.0
SI900122,C100281,2025-11-24 06:46:54,account_takeover,phishing,0.0
SI900123,C100997,2025-11-30 06:35:41,account_takeover,phishing,0.0
SI900124,C100203,2025-12-11 23:04:16,account_takeover,phishing,0.0
SI900125,C100571,2025-11-26 13:51:54,account_takeover,phishing,0.0
SI900126,C100797,2025-11-28 18:36:05,account_takeover,phishing,0.0
SI900127,C100767,2025-10-31 13:39:52,account_takeover,phishing,0.0
SI900128,C100638,2025-11-24 22:00:03,account_takeover,phishing,0.0
SI900129,C100834,2025-11-23 10:53:46,account_takeover,phishing,0.0
SI900130,C100928,2025-11-27 12:54:33,account_takeover,phishing,0.0
SI900131,C100807,2025-11-28 04:04:32,account_takeover,phishing,0.0
SI900132,C100318,2025-11-25 00:00:09,account_takeover,phishing,0.0
SI900133,C100263,2025-12-12 21:02:02,account_takeover,phishing,0.0
SI900134,C100587,2025-10-15 01:36:26,account_takeover,phishing,0.0
SI900135,C100094,2025-12-13 21:26:42,account_takeover,phishing,0.0
SI900136,C100392,2025-11-05 15:53:32,account_takeover,phishing,0.0
SI900137,C100811,2025-11-24 21:30:32,account_takeover,phishing,0.0
SI900138,C100140,2025-11-24 15:37:45,account_takeover,phishing,0.0
SI900139,C100194,2025-12-12 08:34:59,account_takeover,phishing,0.0
SI900140,C100739,2025-10-18 00:51:49,account_takeover,phishing,0.0
SI900141,C100256,2025-10-28 05:53:35,account_takeover,phishing,0.0
SI900142,C100316,2025-11-04 13:00:34,account_takeover,phishing,0.0
SI900143,C100325,2025-12-05 04:05:23,account_takeover,phishing,0.0
SI900144,C100345,2025-11-09 21:43:01,account_takeover,phishing,0.0
SI900145,C100917,2025-11-28 00:00:59,payment_fraud,phishing,1199.0
SI900146,C100917,2025-11-27 16:14:59,payment_fraud,phishing,1199.0
SI900147,C100087,2025-11-27 02:38:43,payment_fraud,phishing,249.99
SI900148,C100311,2025-11-25 07:15:16,payment_fraud,phishing,99.99
SI900149,C100983,2025-12-11 18:39:42,payment_fraud,phishing,499.0
SI900150,C100888,2025-10-28 15:10:43,payment_fraud,phishing,699.0
SI900151,C100169,2025-10-27 23:30:44,payment_fraud,phishing,899.0
SI900152,C100066,2025-11-30 08:42:28,payment_fraud,phishing,899.0
SI900153,C100204,2025-11-28 08:37:52,payment_fraud,phishing,89.99
SI900154,C100270,2025-11-28 16:27:35,payment_fraud,phishing,1499.0
SI900155,C100274,2025-11-05 16:41:50,payment_fraud,phishing,179.99
SI900156,C100950,2025-11-16 23:15:35,payment_fraud,phishing,699.0
SI900157,C100277,2025-11-27 08:07:09,payment_fraud,phishing,1499.0
SI900158,C100277,2025-11-26 21:39:09,payment_fraud,phishing,89.99
SI900159,C100786,2025-11-25 16:56:17,payment_fraud,phishing,249.99
SI900160,C100175,2025-12-10 13:00:32,payment_fraud,phishing,699.0
SI900161,C100306,2025-12-02 12:50:14,payment_fraud,phishing,1199.0
SI900162,C100306,2025-12-02 05:55:14,payment_fraud,phishing,1199.0
SI900163,C100499,2025-11-14 16:47:00,payment_fraud,phishing,899.0
SI900164,C100565,2025-11-24 09:19:36,payment_fraud,phishing,129.99
SI900165,C100135,2025-11-29 04:29:04,payment_fraud,phishing,249.99
SI900166,C100504,2025-10-22 20:33:48,payment_fraud,phishing,699.0
SI900167,C100115,2025-11-26 03:27:00,payment_fraud,phishing,899.0
SI900168,C100336,2025-11-28 02:44:50,payment_fraud,phishing,899.0
SI900169,C100936,2025-11-04 17:16:05,payment_fraud,phishing,899.0
SI900170,C100187,2025-11-26 08:46:43,payment_fraud,phishing,79.99
SI900171,C100024,2025-11-11 02:23:42,payment_fraud,phishing,899.0
SI900172,C100890,2025-11-28 01:15:31,payment_fraud,phishing,1499.0
SI900173,C100890,2025-11-28 05:58:31,payment_fraud,phishing,499.0
SI900174,C100271,2025-12-13 00:59:48,payment_fraud,phishing,149.99
SI900175,C100728,2025-11-10 16:54:34,payment_fraud,phishing,249.99
SI900176,C100143,2025-11-23 13:43:52,payment_fraud,phishing,1499.0
SI900177,C100871,2025-11-28 19:00:02,payment_fraud,phishing,899.0
SI900178,C100016,2025-11-03 17:12:33,payment_fraud,phishing,179.99
SI900179,C100016,2025-11-03 19:54:33,payment_fraud,phishing,899.0
SI900180,C100442,2025-11-04 15:50:13,payment_fraud,phishing,79.99
SI900181,C100695,2025-12-12 03:03:51,payment_fraud,phishing,699.0
SI900182,C100621,2025-11-06 00:08:31,payment_fraud,phishing,1499.0
SI900183,C100448,2025-11-06 20:55:11,payment_fraud,phishing,1499.0
SI900184,C100931,2025-11-07 22:58:40,payment_fraud,phishing,699.0
SI900185,C100724,2025-12-13 02:37:47,payment_fraud,phishing,699.0
SI900186,C100457,2025-11-23 11:07:19,payment_fraud,phishing,179.99
SI900187,C100849,2025-11-26 14:01:31,payment_fraud,phishing,129.99
SI900188,C100513,2025-12-14 02:57:41,payment_fraud,phishing,399.0
SI900189,C100959,2025-11-25 01:22:09,payment_fraud,phishing,99.99
SI900190,C100362,2025-12-02 03:48:18,payment_fraud,phishing,699.0
SI900191,C100654,2025-11-24 05:04:23,payment_fraud,phishing,699.0
SI900192,C100654,2025-11-24 01:28:23,payment_fraud,phishing,399.0
SI900193,C100203,2025-12-12 07:33:16,payment_fraud,phishing,1199.0
SI900194,C100203,2025-12-12 06:24:16,payment_fraud,phishing,89.99
SI900195,C100571,2025-11-26 22:46:54,payment_fraud,phishing,1199.0
SI900196,C100571,2025-11-26 21:48:54,payment_fraud,phishing,129.99
SI900197,C100797,2025-11-29 02:59:05,payment_fraud,phishing,179.99
SI900198,C100834,2025-11-23 20:14:46,payment_fraud,phishing,89.99
SI900199,C100928,2025-11-27 23:16:33,payment_fraud,phishing,89.99
SI900200,C100587,2025-10-15 07:07:26,payment_fraud,phishing,79.99
SI900201,C100392,2025-11-06 00:47:32,payment_fraud,phishing,179.99
SI900202,C100811,2025-11-25 04:41:32,payment_fraud,phishing,249.99
SI900203,C100739,2025-10-18 02:45:49,payment_fraud,phishing,149.99
SI900204,C100739,2025-10-18 03:34:49,payment_fraud,phishing,399.0
SI900205,C100345,2025-11-10 05:25:01,payment_fraud,phishing,1499.0
SI900206,C100418,2025-12-13 21:45:32,account_monitoring,phishing,0.0
SI900207,C100618,2025-11-30 07:27:38,account_monitoring,phishing,0.0
SI900208,C100088,2025-12-13 17:38:26,account_monitoring,phishing,0.0
SI900209,C100238,2025-11-29 05:31:20,account_monitoring,phishing,0.0
SI900210,C100779,2025-12-11 17:57:24,account_monitoring,phishing,0.0
SI900211,C100446,2025-12-14 09:21:23,account_monitoring,phishing,0.0
SI900212,C100167,2025-12-09 22:46:23,account_monitoring,phishing,0.0
SI900213,C100907,2025-12-11 16:07:24,account_monitoring,phishing,0.0
SI900214,C100452,2025-11-23 13:10:47,account_monitoring,phishing,0.0
SI900215,C100344,2025-12-13 21:10:46,account_monitoring,phishing,0.0
SI900216,C100818,2025-11-25 05:13:34,account_monitoring,phishing,0.0
SI900217,C100737,2025-12-13 23:54:06,account_monitoring,phishing,0.0
SI900218,C100879,2025-11-08 02:54:03,account_monitoring,phishing,0.0
SI900219,C100166,2025-12-10 08:59:27,account_monitoring,phishing,0.0
SI900220,C100985,2025-11-27 02:36:17,account_monitoring,phishing,0.0
SI900221,C100368,2025-12-08 19:47:10,account_monitoring,phishing,0.0
SI900222,C100425,2025-11-22 01:36:37,account_monitoring,phishing,0.0
SI900223,C100216,2025-12-12 11:37:55,account_monitoring,phishing,0.0
SI900224,C100622,2025-12-08 08:28:07,account_monitoring,phishing,0.0
SI900225,C100254,2025-12-12 07:11:32,account_monitoring,phishing,0.0
SI900226,C100569,2025-12-13 21:01:59,account_monitoring,phishing,0.0
SI900227,C100748,2025-12-09 13:40:28,account_monitoring,phishing,0.0
SI900228,C100072,2025-12-08 17:59:57,account_monitoring,phishing,0.0
SI900229,C100132,2025-12-10 06:43:09,account_monitoring,phishing,0.0
SI900230,C100276,2025-11-27 01:55:46,account_monitoring,phishing,0.0
SI900231,C100478,2025-12-06 17:01:44,account_monitoring,phishing,0.0
SI900232,C100110,2025-12-13 21:38:27,account_monitoring,phishing,0.0
SI900233,C100877,2025-12-09 18:06:07,account_monitoring,phishing,0.0
SI900234,C100627,2025-12-10 07:12:09,account_monitoring,phishing,0.0
SI900235,C100142,2025-11-08 07:57:20,account_monitoring,phishing,0.0
SI900236,C100013,2025-11-26 01:33:30,account_monitoring,phishing,0.0
SI900237,C100847,2025-11-28 05:26:11,account_monitoring,phishing,0.0
SI900238,C100503,2025-11-26 10:38:32,account_monitoring,phishing,0.0
SI900239,C100185,2025-12-10 11:31:50,account_monitoring,phishing,0.0
SI900240,C100127,2025-12-12 01:02:29,account_monitoring,phishing,0.0
SI900241,C100260,2025-11-26 10:06:26,account_monitoring,phishing,0.0
SI900242,C100151,2025-11-04 00:36:06,account_monitoring,phishing,0.0
SI900243,C100697,2025-11-25 21:31:49,account_monitoring,phishing,0.0
SI900244,C100027,2025-12-10 03:14:51,account_monitoring,phishing,0.0
SI900245,C100920,2025-12-08 01:05:27,account_monitoring,phishing,0.0
SI900246,C100133,2025-12-15 06:36:39,account_monitoring,phishing,0.0
SI900247,C100383,2025-11-26 17:04:36,account_monitoring,phishing,0.0
SI900248,C100109,2025-11-28 15:02:04,account_monitoring,phishing,0.0
SI900249,C100792,2025-12-14 23:08:35,account_monitoring,phishing,0.0
SI900250,C100894,2025-12-09 13:10:31,account_monitoring,phishing,0.0
SI900251,C100147,2025-12-12 20:39:05,account_monitoring,phishing,0.0
SI900252,C100878,2025-11-27 09:39:27,account_monitoring,phishing,0.0
SI900253,C100177,2025-12-10 04:48:27,account_monitoring,phishing,0.0
SI900254,C100384,2025-12-12 06:22:27,account_monitoring,phishing,0.0
SI900255,C100588,2025-11-26 19:18:55,account_monitoring,phishing,0.0
SI900256,C100889,2025-10-28 07:12:34,account_monitoring,phishing,0.0
SI900257,C100042,2025-12-10 00:01:08,account_monitoring,phishing,0.0
SI900258,C100078,2025-12-12 04:28:17,account_monitoring,phishing,0.0
SI900259,C100246,2025-11-28 18:59:36,account_monitoring,phishing,0.0
SI900260,C100282,2025-11-23 12:38:52,account_monitoring,phishing,0.0
SI900261,C100353,2025-11-21 04:19:48,account_monitoring,phishing,0.0
SI900262,C100467,2025-11-14 06:54:22,account_monitoring,phishing,0.0
SI900263,C100805,2025-11-03 19:48:42,account_monitoring,phishing,0.0
SI900264,C100071,2025-12-09 14:42:54,account_monitoring,phishing,0.0
SI900265,C100546,2025-11-20 17:35:09,account_monitoring,phishing,0.0
SI900266,C100753,2025-11-26 14:29:06,account_monitoring,phishing,0.0
SI900267,C100709,2025-12-12 02:51:15,account_monitoring,phishing,0.0
SI900268,C100539,2025-10-22 08:58:56,account_monitoring,phishing,0.0
SI900269,C100375,2025-11-29 20:48:44,account_monitoring,phishing,0.0
SI900270,C100773,2025-12-01 20:02:31,account_monitoring,phishing,0.0
SI900271,C100153,2025-11-23 17:26:20,account_monitoring,phishing,0.0
SI900272,C100632,2025-12-08 15:58:30,account_monitoring,phishing,0.0
SI900273,C100385,2025-11-24 09:42:08,account_monitoring,phishing,0.0
SI900274,C100136,2025-11-25 05:54:30,account_monitoring,phishing,0.0
SI900275,C100835,2025-12-08 15:23:53,account_monitoring,phishing,0.0
SI900276,C100794,2025-11-28 03:08:22,account_monitoring,phishing,0.0
SI900277,C100141,2025-11-22 01:17:36,account_monitoring,phishing,0.0
SI900278,C100721,2025-11-23 05:22:42,account_monitoring,phishing,0.0
SI900279,C100595,2025-11-07 10:33:48,account_monitoring,phishing,0.0
SI900280,C100844,2025-12-08 23:31:12,account_monitoring,phishing,0.0
SI900281,C100956,2025-12-12 07:01:04,account_monitoring,phishing,0.0
SI900282,C100482,2025-12-05 03:12:04,account_monitoring,phishing,0.0
SI900283,C100082,2025-11-23 18:49:44,account_monitoring,phishing,0.0
SI900284,C100624,2025-12-11 14:44:22,account_monitoring,phishing,0.0
SI900285,C100249,2025-12-08 07:49:08,account_monitoring,phishing,0.0
SI900286,C100838,2025-12-12 10:28:27,account_monitoring,phishing,0.0
SI900287,C100101,2025-11-09 21:12:16,account_monitoring,phishing,0.0
SI900288,C100380,2025-12-11 07:27:47,account_monitoring,phishing,0.0
SI900289,C100092,2025-11-03 16:21:05,account_monitoring,phishing,0.0
SI900290,C100988,2025-10-26 00:44:33,account_monitoring,phishing,0.0
SI900291,C100208,2025-11-25 13:19:03,account_monitoring,phishing,0.0
SI900292,C100925,2025-11-25 05:32:16,account_monitoring,phishing,0.0
