interaction_id,message_id,customer_id,interaction_ts,action_type,device_type,landing_page_domain
I900170,M700172,C100719,2025-11-27 17:49:33,clicked_link,web,support-shophub-check.com
I900171,M700174,C100055,2025-12-15 10:21:49,ignored,web,
I900172,M700175,C100987,2025-11-07 16:40:01,opened,mobile,legit_shophub.com
I900173,M700177,C100191,2025-11-25 08:04:25,opened,mobile,
I900174,M700179,C100519,2025-11-29 09:30:04,opened,mobile,
I900175,M700179,C100519,2025-11-29 09:33:04,clicked_link,web,spoof-shophub-login.com
I900176,M700179,C100519,2025-11-29 09:33:04,entered_credentials,both,support-shophub-check.com
I900177,M700180,C100771,2025-12-08 12:58:00,opened,both,
I900178,M700181,C100733,2025-10-23 06:52:42,opened,mobile,
I900179,M700182,C100075,2025-11-23 15:17:57,ignored,mobile,
I900180,M700183,C100219,2025-11-02 21:42:15,ignored,mobile,
I900181,M700184,C100760,2025-11-09 00:58:43,opened,both,legit_shophub.com
I900182,M700185,C100404,2025-11-27 20:13:10,opened,mobile,
I900183,M700186,C100183,2025-11-27 11:33:56,ignored,both,
I900184,M700187,C100288,2025-11-28 20:41:01,ignored,mobile,
I900185,M700188,C100259,2025-11-01 19:40:47,ignored,mobile,
I900186,M700190,C100809,2025-11-28 01:06:23,opened,mobile,
I900187,M700190,C100809,2025-11-28 01:09:23,clicked_link,mobile,support-shophub-check.com
I900188,M700191,C100431,2025-11-22 19:04:00,ignored,mobile,
I900189,M700193,C100819,2025-11-28 04:50:29,ignored,mobile,
I900190,M700194,C100409,2025-12-12 17:25:58,ignored,both,
I900191,M700195,C100752,2025-10-26 05:10:19,opened,mobile,
I900192,M700195,C100752,2025-10-26 05:12:19,clicked_link,mobile,shophub-secure-verify.net
I900193,M700196,C100814,2025-11-25 20:20:27,opened,mobile,
I900194,M700197,C100167,2025-11-13 10:25:05,ignored,both,
I900195,M700198,C100929,2025-10-22 23:32:06,opened,both,
I900196,M700198,C100929,2025-10-22 23:34:06,clicked_link,mobile,spoof-shophub-login.com
I900197,M700198,C100929,2025-10-22 23:37:06,entered_credentials,web,spoof-shophub-login.com
I900198,M700199,C100355,2025-11-19 00:16:47,opened,web,
I900199,M700199,C100355,2025-11-19 00:17:47,reported_as_phish,both,
I900200,M700200,C100837,2025-12-08 04:57:14,ignored,mobile,
I900201,M700201,C100933,2025-11-25 23:04:48,opened,mobile,
I900202,M700202,C100432,2025-11-21 23:44:43,ignored,mobile,
I900203,M700203,C100835,2025-12-10 10:44:25,opened,web,
I900204,M700204,C100362,2025-10-30 22:31:26,opened,web,
I900205,M700204,C100362,2025-10-30 22:33:26,clicked_link,both,spoof-shophub-login.com
I900206,M700205,C100214,2025-10-22 20:54:31,ignored,web,
I900207,M700206,C100230,2025-11-07 13:20:00,ignored,web,
I900208,M700207,C100481,2025-12-04 03:43:04,opened,both,
I900209,M700208,C100306,2025-11-23 11:12:25,opened,mobile,legit_shophub.com
I900210,M700209,C100000,2025-10-21 17:56:02,ignored,web,
I900211,M700210,C100705,2025-12-07 20:57:36,ignored,mobile,
I900212,M700211,C100195,2025-11-04 23:19:35,opened,both,
I900213,M700211,C100195,2025-11-04 23:23:35,clicked_link,mobile,support-shophub-check.com
I900214,M700212,C100955,2025-11-25 12:40:57,opened,mobile,
I900215,M700213,C100478,2025-10-27 19:26:32,opened,mobile,
I900216,M700213,C100478,2025-10-27 19:29:32,reported_as_phish,both,
I900217,M700214,C100489,2025-11-26 07:44:33,reported_as_phish,web,
I900218,M700216,C100625,2025-11-15 00:09:57,ignored,mobile,
I900219,M700217,C100091,2025-11-29 17:59:10,opened,both,
I900220,M700218,C100969,2025-10-31 02:49:59,opened,mobile,
I900221,M700219,C100754,2025-12-08 13:26:44,opened,mobile,
I900222,M700219,C100754,2025-12-08 13:30:44,clicked_link,mobile,spoof-shophub-login.com
I900223,M700220,C100890,2025-10-24 10:09:31,opened,mobile,
I900224,M700221,C100997,2025-11-28 11:02:42,opened,both,
I900225,M700222,C100641,2025-11-26 14:15:25,opened,both,
I900226,M700223,C100369,2025-12-06 21:05:41,opened,mobile,
I900227,M700223,C100369,2025-12-06 21:07:41,reported_as_phish,mobile,
I900228,M700225,C100666,2025-12-13 17:13:04,opened,web,
I900229,M700225,C100666,2025-12-13 17:15:04,reported_as_phish,mobile,
I900230,M700226,C100136,2025-12-06 17:15:45,ignored,web,
I900231,M700227,C100487,2025-10-20 21:58:45,ignored,both,
I900232,M700228,C100336,2025-12-14 07:57:13,opened,mobile,
I900233,M700229,C100638,2025-11-04 10:06:07,opened,both,
I900234,M700229,C100638,2025-11-04 10:08:07,clicked_link,mobile,shophub-secure-verify.net
I900235,M700230,C100543,2025-12-11 18:41:22,opened,mobile,
I900236,M700231,C100015,2025-11-14 12:16:35,opened,mobile,
I900237,M700232,C100904,2025-11-17 02:57:23,ignored,both,
I900238,M700233,C100336,2025-10-16 23:02:13,opened,mobile,
I900239,M700233,C100336,2025-10-16 23:04:13,clicked_link,both,shophub-secure-verify.net
I900240,M700235,C100113,2025-12-05 13:31:02,ignored,web,
I900241,M700236,C100364,2025-12-10 09:58:40,opened,both,
I900242,M700237,C100727,2025-12-04 15:27:31,opened,web,legit_shophub.com
I900243,M700239,C100874,2025-11-25 22:08:04,opened,web,
I900244,M700239,C100874,2025-11-25 22:14:04,reported_as_phish,mobile,
I900245,M700240,C100572,2025-12-09 11:51:34,ignored,web,
I900246,M700242,C100668,2025-10-30 16:17:07,opened,mobile,
I900247,M700243,C100537,2025-11-29 18:32:22,opened,both,
I900248,M700243,C100537,2025-11-29 18:36:22,clicked_link,mobile,spoof-shophub-login.com
I900249,M700244,C100358,2025-11-25 12:37:00,opened,web,
I900250,M700245,C100992,2025-10-16 10:14:21,ignored,web,
I900251,M700246,C100887,2025-11-03 16:57:33,opened,mobile,
I900252,M700246,C100887,2025-11-03 17:00:33,clicked_link,mobile,support-shophub-check.com
I900253,M700247,C100028,2025-12-10 12:37:00,opened,mobile,
I900254,M700248,C100571,2025-12-08 11:37:14,opened,mobile,
I900255,M700248,C100571,2025-12-08 11:42:14,clicked_link,web,spoof-shophub-login.com
I900256,M700249,C100495,2025-12-11 02:12:02,opened,both,
I900257,M700250,C100453,2025-11-05 12:05:46,opened,web,
I900258,M700250,C100453,2025-11-05 12:08:46,clicked_link,web,support-shophub-check.com
I900259,M700251,C100569,2025-11-30 06:27:15,ignored,both,
I900260,M700252,C100263,2025-11-19 14:43:33,ignored,web,
I900261,M700254,C100349,2025-11-18 20:11:47,opened,both,
I900262,M700255,C100048,2025-11-27 09:34:46,opened,web,
I900263,M700256,C100766,2025-11-25 20:12:07,opened,both,
I900264,M700256,C100766,2025-11-25 20:17:07,clicked_link,mobile,shophub-secure-verify.net
I900265,M700257,C100402,2025-10-22 22:21:10,opened,mobile,legit_shophub.com
I900266,M700259,C100650,2025-12-13 20:05:42,opened,both,
I900267,M700261,C100282,2025-11-24 22:51:28,opened,mobile,
I900268,M700262,C100268,2025-11-23 10:36:58,opened,web,
I900269,M700262,C100268,2025-11-23 10:40:58,clicked_link,mobile,support-shophub-check.com
I900270,M700263,C100000,2025-10-21 13:58:58,reported_as_phish,web,
I900271,M700264,C100350,2025-12-09 05:19:44,ignored,mobile,
I900272,M700265,C100625,2025-11-26 20:21:57,opened,mobile,
I900273,M700266,C100516,2025-11-20 02:45:40,opened,web,
I900274,M700267,C100432,2025-11-09 05:41:29,opened,both,
I900275,M700268,C100825,2025-12-13 16:31:19,opened,mobile,
I900276,M700272,C100472,2025-12-02 03:51:08,opened,mobile,
I900277,M700273,C100341,2025-10-26 10:26:52,opened,web,legit_shophub.com
I900278,M700275,C100922,2025-11-24 07:10:16,ignored,mobile,
I900279,M700278,C100287,2025-11-27 04:17:51,opened,mobile,
I900280,M700278,C100287,2025-11-27 04:18:51,clicked_link,mobile,support-shophub-check.com
I900281,M700279,C100587,2025-11-14 05:23:49,ignored,web,
I900282,M700280,C100760,2025-10-15 04:03:19,ignored,mobile,
I900283,M700281,C100964,2025-11-27 03:03:28,opened,web,
I900284,M700281,C100964,2025-11-27 03:07:28,clicked_link,web,spoof-shophub-login.com
I900285,M700284,C100675,2025-10-27 16:59:06,opened,web,
I900286,M700288,C100664,2025-12-01 22:25:48,opened,mobile,
I900287,M700289,C100209,2025-10-23 14:35:50,opened,mobile,
I900288,M700290,C100931,2025-11-21 02:41:54,opened,mobile,legit_shophub.com
I900289,M700291,C100747,2025-11-10 16:19:08,ignored,mobile,
I900290,M700293,C100042,2025-11-07 20:05:01,opened,both,legit_shophub.com
I900291,M700295,C100043,2025-12-06 23:10:36,opened,web,
I900292,M700295,C100043,2025-12-06 23:14:36,reported_as_phish,mobile,
I900293,M700296,C100672,2025-11-27 15:03:33,opened,both,
I900294,M700298,C100982,2025-11-29 18:21:53,opened,both,
I900295,M700299,C100125,2025-12-15 08:14:17,opened,both,legit_shophub.com
I900296,M700300,C100706,2025-12-12 08:58:13,opened,mobile,
I900297,M700301,C100158,2025-11-04 11:09:46,opened,mobile,
I900298,M700302,C100107,2025-11-24 19:44:56,opened,mobile,
I900299,M700304,C100048,2025-10-24 03:17:53,ignored,web,
I900300,M700305,C100159,2025-12-09 22:46:15,ignored,web,
I900301,M700306,C100364,2025-11-30 12:50:49,opened,both,
I900302,M700307,C100164,2025-11-28 23:37:20,opened,both,
I900303,M700309,C100759,2025-10-18 17:22:59,opened,mobile,legit_shophub.com
I900304,M700310,C100936,2025-10-27 22:57:50,opened,mobile,
I900305,M700310,C100936,2025-10-27 22:59:50,reported_as_phish,both,
I900306,M700311,C100851,2025-12-06 22:35:35,ignored,mobile,
I900307,M700312,C100088,2025-11-13 04:09:33,opened,mobile,
I900308,M700312,C100088,2025-11-13 04:12:33,clicked_link,web,spoof-shophub-login.com
I900309,M700312,C100088,2025-11-13 04:15:33,entered_credentials,mobile,support-shophub-check.com
I900310,M700313,C100331,2025-11-05 04:31:28,opened,mobile,
I900311,M700313,C100331,2025-11-05 04:34:28,clicked_link,both,support-shophub-check.com
I900312,M700314,C100144,2025-11-05 01:05:53,opened,mobile,
I900313,M700315,C100253,2025-11-19 17:36:52,ignored,mobile,
I900314,M700316,C100454,2025-12-12 18:14:42,opened,web,
I900315,M700317,C100235,2025-11-20 21:37:07,ignored,mobile,
I900316,M700318,C100294,2025-11-27 01:29:03,opened,both,
I900317,M700318,C100294,2025-11-27 01:32:03,clicked_link,mobile,support-shophub-check.com
I900318,M700318,C100294,2025-11-27 01:35:03,entered_credentials,mobile,spoof-shophub-login.com
I900319,M700319,C100111,2025-10-30 13:01:54,opened,web,
I900320,M700319,C100111,2025-10-30 13:04:54,clicked_link,web,shophub-secure-verify.net
I900321,M700321,C100807,2025-11-13 19:26:33,opened,mobile,
I900322,M700322,C100824,2025-11-05 03:16:19,ignored,mobile,
I900323,M700323,C100547,2025-11-25 03:39:04,ignored,web,
I900324,M700324,C100519,2025-12-11 21:04:21,opened,web,
I900325,M700325,C100238,2025-10-21 07:48:04,opened,mobile,
I900326,M700325,C100238,2025-10-21 07:51:04,clicked_link,both,spoof-shophub-login.com
I900327,M700326,C100913,2025-12-08 16:42:23,opened,mobile,legit_shophub.com
I900328,M700327,C100788,2025-11-03 22:28:38,opened,mobile,
I900329,M700328,C100613,2025-10-20 16:09:24,opened,mobile,
I900330,M700330,C100548,2025-11-08 00:10:44,ignored,mobile,
I900331,M700331,C100400,2025-12-12 06:05:53,opened,mobile,
I900332,M700331,C100400,2025-12-12 06:05:53,reported_as_phish,both,
I900333,M700332,C100460,2025-10-18 02:45:53,ignored,mobile,
I900334,M700333,C100512,2025-11-01 04:28:16,opened,mobile,legit_shophub.com
I900335,M700334,C100403,2025-11-05 06:38:13,opened,web,
I900336,M700334,C100403,2025-11-05 06:41:13,clicked_link,web,support-shophub-check.com
I900337,M700335,C100117,2025-12-12 03:26:56,opened,web,
I900338,M700336,C100581,2025-11-14 23:20:05,opened,both,
I900339,M700337,C100258,2025-10-17 01:30:58,opened,web,
I900340,M700338,C100388,2025-11-11 18:54:40,opened,web,legit_shophub.com
I900341,M700341,C100151,2025-12-05 11:59:21,opened,mobile,
I900342,M700343,C100548,2025-11-21 02:04:56,opened,web,
I900343,M700344,C100148,2025-11-03 07:00:23,opened,mobile,
I900344,M700345,C100025,2025-10-25 09:20:43,opened,mobile,legit_shophub.com
I900345,M700346,C100465,2025-11-28 03:46:46,reported_as_phish,mobile,
I900346,M700347,C100169,2025-10-28 15:35:05,opened,both,
I900347,M700347,C100169,2025-10-28 15:41:05,clicked_link,web,support-shophub-check.com
I900348,M700348,C100870,2025-11-05 17:57:40,opened,web,
I900349,M700349,C100362,2025-10-17 01:40:35,opened,both,
I900350,M700349,C100362,2025-10-17 01:44:35,reported_as_phish,mobile,
I900351,M700350,C100812,2025-11-18 02:02:51,opened,mobile,legit_shophub.com
I900352,M700351,C100104,2025-11-27 01:57:12,opened,mobile,
I900353,M700351,C100104,2025-11-27 02:01:12,reported_as_phish,web,
I900354,M700352,C100762,2025-12-09 07:04:15,ignored,mobile,
I900355,M700353,C100683,2025-11-05 01:03:15,opened,mobile,
I900356,M700353,C100683,2025-11-05 01:06:15,clicked_link,mobile,spoof-shophub-login.com
I900357,M700354,C100692,2025-11-18 07:17:42,ignored,web,
I900358,M700355,C100999,2025-11-24 14:03:02,opened,web,
I900359,M700356,C100497,2025-12-10 03:09:42,ignored,both,
I900360,M700357,C100510,2025-11-25 00:26:27,opened,mobile,
I900361,M700357,C100510,2025-11-25 00:29:27,clicked_link,mobile,support-shophub-check.com
I900362,M700357,C100510,2025-11-25 00:29:27,entered_credentials,mobile,spoof-shophub-login.com
I900363,M700358,C100490,2025-12-04 09:38:51,opened,web,
I900364,M700360,C100087,2025-11-26 16:24:16,opened,web,legit_shophub.com
I900365,M700361,C100536,2025-12-02 02:05:53,opened,mobile,
I900366,M700363,C100280,2025-11-11 15:27:42,opened,mobile,
I900367,M700365,C100479,2025-12-08 03:51:30,opened,web,
I900368,M700366,C100176,2025-10-18 00:15:41,opened,both,
I900369,M700366,C100176,2025-10-18 00:18:41,reported_as_phish,mobile,
I900370,M700367,C100777,2025-11-23 05:52:12,opened,web,
I900371,M700367,C100777,2025-11-23 05:56:12,clicked_link,mobile,support-shophub-check.com
I900372,M700369,C100842,2025-11-24 16:11:21,opened,web,
I900373,M700369,C100842,2025-11-24 16:15:21,clicked_link,mobile,spoof-shophub-login.com
I900374,M700372,C100230,2025-11-26 04:54:36,opened,web,
I900375,M700373,C100970,2025-12-07 19:37:40,opened,web,
I900376,M700373,C100970,2025-12-07 19:42:40,clicked_link,mobile,shophub-secure-verify.net
I900377,M700373,C100970,2025-12-07 19:45:40,entered_credentials,mobile,support-shophub-check.com
I900378,M700375,C100477,2025-11-26 05:34:03,opened,mobile,
I900379,M700376,C100114,2025-12-12 22:21:52,opened,both,legit_shophub.com
I900380,M700377,C100646,2025-12-07 11:08:19,opened,both,
I900381,M700378,C100931,2025-11-24 09:31:20,opened,mobile,
I900382,M700378,C100931,2025-11-24 09:36:20,clicked_link,web,support-shophub-check.com
I900383,M700381,C100409,2025-10-24 03:10:35,opened,mobile,
I900384,M700383,C100258,2025-12-11 17:41:18,opened,mobile,
I900385,M700384,C100207,2025-11-03 18:13:07,ignored,web,
I900386,M700385,C100113,2025-12-07 15:10:37,ignored,both,
I900387,M700386,C100024,2025-12-09 08:17:37,opened,mobile,
I900388,M700388,C100108,2025-11-03 12:40:05,ignored,web,
I900389,M700389,C100922,2025-11-06 03:46:06,opened,mobile,
I900390,M700389,C100922,2025-11-06 03:46:06,reported_as_phish,web,
I900391,M700391,C100818,2025-12-15 05:25:32,ignored,mobile,
I900392,M700392,C100071,2025-10-18 03:22:59,opened,mobile,
